BHK,Size,Floor,Area Locality,City,Bathroom,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,N_22,Rent
1,700,10,610,4,1,0,1,0,0,0,1,1,0,0,0,0,1,10000
2,1000,454,2005,4,1,0,1,0,0,1,0,0,1,0,0,0,1,15000
1,500,456,248,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
2,450,192,311,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
3,1400,14,1936,4,1,0,0,1,0,0,1,0,1,0,0,0,1,15000
1,500,1,248,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
2,700,446,703,4,1,0,1,0,0,0,1,0,1,0,0,0,1,6000
3,1200,14,1757,4,1,0,1,0,0,1,0,0,1,0,0,0,1,18000
2,450,10,115,4,1,0,1,0,0,0,1,1,0,0,0,0,1,8000
1,500,192,1758,4,1,0,1,0,1,0,0,1,0,0,1,0,0,13000
2,400,446,2200,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7500
3,1000,446,1000,4,2,0,0,1,0,0,1,0,1,0,0,0,1,12000
2,750,446,1497,4,1,0,1,0,0,0,1,1,0,0,0,0,1,11000
1,450,454,195,4,1,0,0,1,0,0,1,0,0,1,0,0,1,6000
3,1000,10,1759,4,2,0,1,0,0,0,1,1,0,0,1,0,0,20000
2,500,1,2214,4,2,0,1,0,0,0,1,1,0,0,0,0,1,7000
4,1600,446,1759,4,2,0,1,0,0,0,1,1,0,0,1,0,0,30000
2,550,446,1366,4,1,0,1,0,0,0,1,1,0,0,0,0,1,7500
1,550,10,872,4,2,0,0,1,0,0,1,0,1,0,0,0,1,6500
1,200,196,236,4,1,0,0,1,0,0,1,0,1,0,0,0,1,3000
2,650,10,1918,4,1,0,1,0,0,0,1,1,0,0,0,0,1,5200
2,1000,1,1951,4,2,0,0,1,1,0,0,0,1,0,0,0,1,25000
2,680,454,238,4,2,0,1,0,0,0,1,0,1,0,0,0,1,12500
2,720,446,1859,4,2,0,1,0,0,0,1,0,1,0,0,0,1,8500
2,500,312,1028,4,1,0,1,0,0,0,1,1,0,0,0,0,1,3500
2,800,454,1149,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
1,160,446,1051,4,1,0,0,1,0,0,1,0,1,0,0,0,1,3000
2,1200,10,1760,4,2,0,1,0,0,0,1,0,1,0,1,0,0,14000
1,700,457,1759,4,1,0,0,1,1,0,0,0,1,0,0,0,1,18000
1,1000,446,522,4,1,0,0,1,0,1,0,0,1,0,0,0,1,3500
2,1250,446,963,4,2,0,0,1,0,0,1,0,1,0,1,0,0,16000
4,1600,456,1756,4,3,0,0,1,0,0,1,0,1,0,0,0,1,35000
2,700,454,1083,4,1,0,0,1,0,1,0,0,1,0,0,0,1,21000
1,450,454,1859,4,1,0,0,1,0,0,1,0,1,0,0,0,1,4500
2,839,14,754,4,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
1,230,456,311,4,1,0,0,1,0,0,1,0,1,0,0,0,1,4500
1,1800,454,235,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5500
2,800,10,197,4,2,0,0,1,0,0,1,0,1,0,0,0,1,8500
1,500,446,183,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
2,620,446,963,4,1,0,1,0,0,0,1,1,0,0,0,0,1,8500
2,650,196,2227,4,1,0,1,0,0,0,1,0,1,0,0,0,1,9000
1,550,10,1332,4,1,0,0,1,0,1,0,0,1,0,1,0,0,7500
2,450,14,2212,4,2,0,1,0,1,0,0,1,0,0,0,0,1,7000
3,1350,10,125,4,2,0,1,0,0,0,1,0,0,1,0,0,1,15000
2,600,192,1493,4,2,0,0,1,0,1,0,0,1,0,0,0,1,7000
3,1200,198,264,4,1,0,0,1,1,0,0,0,1,0,0,0,1,10000
2,700,10,697,4,1,0,0,1,0,0,1,0,1,0,1,0,0,7000
3,800,14,294,4,2,0,1,0,1,0,0,0,1,0,0,0,1,3200
2,600,456,1778,4,1,0,1,0,0,1,0,0,1,0,0,0,1,6000
2,900,14,2007,4,2,0,0,1,0,0,1,0,1,0,0,0,1,12000
2,750,446,259,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6000
3,1250,10,818,4,2,0,0,1,0,0,1,0,1,0,0,0,1,10000
3,1000,192,460,4,3,0,0,1,0,1,0,0,1,0,0,0,1,12000
2,600,454,754,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
2,650,1,1882,4,1,0,1,0,0,0,1,0,1,0,0,0,1,5300
2,450,196,1105,4,1,0,1,0,0,0,1,1,0,0,0,0,1,5000
3,800,454,1364,4,2,0,0,1,0,0,1,0,1,0,0,0,1,8500
3,1000,456,1917,4,2,0,1,0,0,1,0,0,1,0,0,0,1,22000
2,1000,456,1058,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
3,1400,346,1756,4,3,0,1,0,1,0,0,1,0,0,1,0,0,25000
2,600,16,238,4,1,0,1,0,0,1,0,1,0,0,0,0,1,7000
2,723,456,1354,4,1,0,1,0,1,0,0,0,0,1,0,0,1,15000
1,320,454,1735,4,1,0,1,0,0,0,1,0,1,0,0,0,1,6000
2,900,456,264,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
3,1400,454,1758,4,2,0,1,0,1,0,0,0,1,0,1,0,0,40000
1,2160,10,963,4,1,0,0,1,0,1,0,1,0,0,0,0,1,6000
2,650,454,2197,4,1,0,1,0,0,1,0,0,1,0,0,0,1,15000
2,800,1,944,4,1,0,0,1,0,1,0,0,1,0,0,0,1,6500
3,800,196,230,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8000
1,500,454,612,4,1,0,1,0,0,0,1,0,1,0,0,0,1,5500
3,1700,10,1482,4,2,0,0,1,0,1,0,0,1,0,0,0,1,9000
1,130,454,330,4,1,0,1,0,0,1,0,0,1,0,0,0,1,6000
1,505,456,963,4,1,0,0,1,1,0,0,0,1,0,0,0,1,15000
4,4000,456,1749,4,3,0,0,1,1,0,0,0,1,0,1,0,0,30000
3,1250,454,1380,4,2,0,0,1,0,0,1,0,1,0,0,0,1,30000
1,700,454,1304,4,1,0,1,0,0,0,1,0,1,0,0,0,1,5000
2,900,446,1493,4,1,0,0,1,0,0,1,1,0,0,0,0,1,15000
1,650,1,859,4,1,0,0,1,0,1,0,0,1,0,0,0,1,6500
2,750,446,174,4,1,0,0,1,1,0,0,0,1,0,0,0,1,4500
2,450,456,1207,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7000
1,350,10,482,4,1,0,1,0,0,1,0,0,1,0,0,0,1,6500
1,480,10,1598,4,2,0,1,0,1,0,0,1,0,0,0,0,1,17500
2,900,456,610,4,1,0,0,1,0,0,1,0,1,0,0,0,1,10000
1,200,454,1778,4,1,0,0,1,0,1,0,0,1,0,0,0,1,1500
3,1100,196,1671,4,3,0,0,1,0,0,1,0,1,0,0,0,1,25000
2,800,10,963,4,1,0,1,0,0,0,1,0,1,0,0,0,1,12000
3,1000,454,2221,4,2,0,1,0,1,0,0,0,1,0,0,0,1,7500
1,800,10,1057,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7000
1,200,474,197,4,1,0,0,1,0,1,0,0,1,0,0,0,1,3500
3,1190,10,1793,4,2,0,1,0,0,0,1,0,1,0,0,0,1,10000
2,900,454,1756,4,2,0,1,0,0,0,1,1,0,0,1,0,0,14000
2,1500,454,610,4,2,0,0,1,0,0,1,0,1,0,0,0,1,15000
2,600,196,1973,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6500
3,800,457,332,4,1,0,0,1,0,0,1,0,1,0,0,0,1,10000
2,800,10,1778,4,2,0,1,0,0,0,1,0,0,1,0,0,1,10500
3,900,456,610,4,2,0,1,0,0,1,0,0,1,0,0,0,1,10000
1,350,456,1574,4,1,0,1,0,0,1,0,0,1,0,0,0,1,5000
2,800,454,1882,4,1,0,1,0,0,0,1,0,1,0,0,0,1,9000
2,1600,456,817,4,2,0,1,0,0,0,1,1,0,0,0,0,1,20000
3,1012,196,1757,4,2,0,1,0,0,1,0,0,1,0,0,0,1,35000
3,1200,454,1506,4,2,0,1,0,0,0,1,1,0,0,0,0,1,15000
2,700,10,1757,4,1,0,0,1,1,0,0,0,1,0,0,0,1,20000
2,1000,14,259,4,1,0,0,1,0,1,0,0,1,0,0,0,1,12000
2,800,456,1973,4,1,0,1,0,0,0,1,1,0,0,0,0,1,8000
1,500,446,702,4,1,0,0,1,0,1,0,0,1,0,0,0,1,3000
3,1200,446,697,4,2,0,1,0,0,1,0,1,0,0,0,0,1,20000
1,450,454,1758,4,1,0,1,0,0,0,1,1,0,0,1,0,0,9000
3,950,454,1600,4,2,0,1,0,0,0,1,0,1,0,0,0,1,13000
1,350,454,1760,4,1,0,1,0,0,0,1,0,1,0,1,0,0,7000
1,450,456,1760,4,1,0,1,0,0,0,1,0,1,0,1,0,0,9000
1,550,454,226,4,1,0,1,0,0,1,0,1,0,0,0,0,1,9000
2,300,446,990,4,1,0,1,0,0,0,1,1,0,0,0,0,1,10000
3,1250,456,1749,4,2,0,0,1,0,1,0,0,1,0,0,0,1,15000
2,700,196,610,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7000
3,812,456,742,4,2,0,0,1,0,0,1,0,1,0,0,0,1,8000
2,550,454,907,4,1,0,0,1,0,0,1,0,1,0,0,0,1,8000
1,500,446,1676,4,1,0,0,1,0,1,0,0,1,0,0,0,1,5000
1,320,10,29,4,1,0,1,0,1,0,0,1,0,0,0,0,1,14000
2,600,454,107,4,1,0,0,1,0,0,1,0,1,0,0,0,1,5000
2,420,454,236,4,1,0,1,0,0,0,1,1,0,0,0,0,1,5000
3,1100,454,1599,4,1,0,0,1,0,0,1,1,0,0,0,0,1,12000
1,220,269,1882,4,1,0,0,1,0,0,1,0,1,0,0,0,1,3200
2,700,454,1418,4,2,0,1,0,0,1,0,0,1,0,0,0,1,8500
3,1200,454,201,4,2,0,1,0,0,0,1,0,1,0,1,0,0,16000
2,800,456,1779,4,2,0,1,0,0,0,1,0,1,0,0,0,1,14000
1,300,446,230,4,1,0,1,0,1,0,0,1,0,0,1,0,0,8000
2,650,454,239,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7000
1,600,10,610,4,1,0,0,1,1,0,0,0,1,0,0,0,1,8000
1,350,456,264,4,1,0,0,1,0,0,1,0,1,0,0,0,1,3000
1,500,14,1338,4,1,0,1,0,0,0,1,1,0,0,0,0,1,3800
1,400,1,2124,4,1,0,0,1,0,0,1,0,1,0,0,0,1,6500
3,1750,456,912,4,3,0,0,1,0,1,0,0,1,0,0,0,1,20000
3,1600,266,212,4,2,0,0,1,0,0,1,0,1,0,0,0,1,30000
1,300,454,1760,4,1,0,1,0,0,1,0,0,1,0,1,0,0,8000
2,1100,14,1937,4,2,0,0,1,0,1,0,0,1,0,0,0,1,14000
2,830,456,1882,4,1,0,0,1,0,0,1,0,1,0,0,0,1,7200
2,600,454,4,4,2,0,1,0,0,1,0,0,1,0,0,0,1,7000
1,500,10,235,4,2,0,0,1,0,0,1,1,0,0,0,0,1,7000
2,900,10,522,4,1,0,1,0,0,0,1,0,1,0,0,0,1,7500
2,1250,446,236,4,2,0,1,0,0,0,1,0,0,1,0,0,1,8500
2,700,454,1758,4,1,0,1,0,0,0,1,1,0,0,1,0,0,12000
1,850,446,457,4,2,0,1,0,0,0,1,1,0,0,0,0,1,8500
2,550,446,612,4,1,0,1,0,0,0,1,0,1,0,0,0,1,9500
2,550,446,1388,4,2,0,1,0,1,0,0,0,1,0,0,0,1,7500
2,1200,446,701,4,1,0,0,1,0,0,1,0,1,0,0,0,1,12000
3,1100,446,1758,4,2,0,1,0,0,0,1,1,0,0,1,0,0,20000
2,650,446,754,4,1,0,0,1,0,1,0,0,1,0,0,0,1,8500
3,1050,446,1758,4,2,0,1,0,0,0,1,1,0,0,1,0,0,20000
2,960,454,521,4,2,0,0,1,0,1,0,0,1,0,0,0,1,6000
2,650,1,859,4,2,0,1,0,0,0,1,0,1,0,0,0,1,5500
1,550,454,963,4,1,0,0,1,0,1,0,0,1,0,0,0,1,7000
